modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,277,82,-1,true,83,71.43,70.43,69.5,0.0
3,1,1,0,0,2,0,216,10,-1,true,83,41.3,40.0,47.04,0.0
4,2,1,0,0,2,0,289,82,-1,true,87,75.32,68.57,79.5,0.0
5,6,1,0,0,2,0,223,21,-1,true,83,66.67,60.94,57.11,0.0
6,13,1,0,0,2,0,110,172,-1,true,86,58.11,57.7,60.0,0.0
7,24,1,0,0,2,0,276,82,-1,true,84,46.88,43.12,47.5,0.0
8,25,1,0,0,2,0,112,293,-1,true,85,57.95,60.0,61.85,0.0
9,29,1,0,0,2,0,166,112,-1,true,85,48.68,55.91,54.95,0.0
10,36,1,0,0,2,0,149,82,-1,true,82,67.24,58.89,67.0,0.0
11,38,1,0,0,2,0,52,208,-1,true,82,70.83,61.88,71.28,0.0
12,61,1,0,0,2,0,293,45,-1,true,88,66.05,66.46,68.87,0.0
13,68,1,0,0,0,2,272,135,-1,false,0,59.38,35.16,36.71,0.0
14,76,1,0,0,2,0,276,28,-1,true,82,69.74,70.0,67.5,0.0
15,77,1,0,0,2,0,10,116,-1,true,83,67.26,71.11,68.57,0.0
16,78,1,0,0,2,0,116,180,-1,true,88,52.34,59.29,63.97,0.0
17,80,1,0,0,2,0,179,289,-1,true,85,56.85,63.9,65.71,0.0
18,83,1,0,0,2,0,48,223,-1,true,82,65.91,60.38,64.69,0.0
19,84,1,0,0,2,0,52,45,-1,true,85,60.64,51.88,56.94,0.0
20,90,1,0,0,0,2,219,277,-1,false,0,58.82,48.18,48.7,0.0
21,94,1,0,0,2,0,275,48,-1,true,84,66.15,73.08,65.0,0.0
22,101,1,0,0,2,0,281,18,-1,true,83,71.15,63.18,72.22,0.0
23,109,1,0,0,2,0,283,82,-1,true,88,67.12,59.57,68.5,0.0
24,111,1,0,0,2,0,258,206,-1,true,88,70.27,68.42,69.34,0.0
25,114,1,0,0,2,0,149,216,-1,true,82,67.98,68.22,68.94,0.0
26,115,1,0,0,2,0,222,135,-1,true,86,50.0,60.62,65.66,0.0
27,119,1,0,0,2,0,172,52,-1,true,83,69.77,68.57,61.88,0.0
28,120,1,0,0,2,0,18,39,-1,true,88,31.82,45.56,47.27,0.0
29,124,1,0,0,2,0,182,216,-1,true,85,60.76,63.93,62.77,0.0
30,127,1,0,0,2,0,141,110,-1,true,88,65.22,68.76,66.4,0.0
31,128,1,0,0,2,0,168,0,-1,true,84,67.86,68.21,65.71,0.0
32,129,1,0,0,2,0,149,182,-1,true,87,65.87,64.22,63.57,0.0
33,133,1,0,0,2,0,82,289,-1,true,82,58.45,68.0,64.29,0.0
34,134,1,0,0,2,0,21,277,-1,true,87,41.67,37.89,41.74,0.0
35,138,1,0,0,2,0,86,48,-1,true,82,53.41,59.63,57.31,0.0
36,142,1,0,0,2,0,219,48,-1,true,87,62.82,55.35,53.46,0.0
37,145,1,0,0,2,0,283,10,-1,true,84,66.28,59.78,68.15,0.0
38,146,1,0,0,2,0,289,86,-1,true,82,44.23,45.0,47.78,0.0
39,148,1,0,0,2,0,293,21,-1,true,84,53.0,49.23,54.21,0.0
40,153,1,0,0,2,0,295,216,-1,true,88,53.66,50.0,52.98,0.0
41,155,1,0,0,2,0,82,18,-1,true,83,33.33,45.0,40.56,0.0
42,158,1,0,0,2,0,180,206,-1,true,86,65.0,62.7,59.84,0.0
43,159,1,0,0,2,0,165,35,-1,true,86,60.0,57.14,60.75,0.0
44,160,1,0,0,2,0,21,52,-1,true,86,25.0,42.37,42.5,0.0
45,163,1,0,0,2,0,206,18,-1,true,84,69.7,70.82,73.33,0.0
46,164,1,0,0,2,0,45,272,-1,true,88,60.9,67.74,66.21,0.0
47,167,1,0,0,2,0,135,18,-1,true,83,60.81,56.18,51.11,0.0
48,170,1,0,0,2,0,165,295,-1,true,85,47.06,53.47,54.14,0.0
49,171,1,0,0,2,0,81,35,-1,true,84,55.41,54.83,60.25,0.0
50,177,1,0,0,2,0,277,82,-1,true,86,68.38,73.48,70.5,0.0
51,186,1,0,0,2,0,116,10,-1,true,86,64.67,65.0,67.41,0.0
52,188,1,0,0,2,0,116,0,-1,true,83,44.0,37.14,39.57,0.0
53,189,1,0,0,2,0,150,82,-1,true,84,63.43,55.47,62.0,0.0
54,193,1,0,0,2,0,150,35,-1,true,87,73.12,68.02,69.62,0.0
55,194,1,0,0,2,0,269,116,-1,true,82,69.23,70.37,67.14,0.0
56,197,1,0,0,2,0,258,269,-1,true,87,52.78,55.92,59.39,0.0
57,199,1,0,0,2,0,39,223,-1,true,84,55.0,55.25,54.06,0.0
58,202,1,0,0,2,0,56,82,-1,true,86,68.37,71.01,76.0,0.0
59,204,1,0,0,2,0,172,82,-1,true,87,56.45,60.0,66.0,0.0
60,205,1,0,0,2,0,82,228,-1,true,83,36.36,52.5,45.83,0.0
61,207,1,0,0,2,0,135,52,-1,true,83,58.54,66.97,58.75,0.0
62,214,1,0,0,2,0,106,168,-1,true,88,52.44,56.12,56.31,0.0
63,226,1,0,0,2,0,86,166,-1,true,87,58.62,65.56,65.59,0.0
64,229,1,0,0,2,1,81,52,228,true,85,65.75,65.52,55.62,64.72
65,233,1,0,0,2,0,28,113,-1,true,82,65.17,64.17,61.25,0.0
66,234,1,0,0,2,0,277,269,-1,true,84,71.25,72.61,67.8,0.0
67,238,1,0,0,2,0,39,223,-1,true,87,65.48,68.59,67.19,0.0
68,243,1,0,0,2,0,295,135,-1,true,84,54.0,46.9,51.71,0.0
69,244,1,0,0,2,0,26,82,-1,true,85,55.77,47.69,61.0,0.0
70,247,1,0,0,2,0,35,228,-1,true,82,62.9,70.25,65.0,0.0
71,248,1,0,0,2,0,141,283,-1,true,85,61.54,64.94,63.7,0.0
72,257,1,0,0,2,0,281,168,-1,true,86,61.39,63.41,67.5,0.0
73,260,1,0,0,2,0,18,82,-1,true,88,73.66,67.22,74.5,0.0
74,266,1,0,0,2,0,178,179,-1,true,86,65.7,70.0,68.8,0.0
75,270,1,0,0,2,0,82,172,-1,true,83,68.55,72.5,68.57,0.0
76,274,1,0,0,2,0,45,172,-1,true,82,34.38,50.65,50.71,0.0
77,284,1,0,0,2,0,135,86,-1,true,87,51.02,58.95,59.26,0.0
78,291,1,0,0,2,0,48,18,-1,true,87,74.6,66.54,70.0,0.0
79,292,1,0,0,2,1,113,116,166,true,85,47.92,37.5,38.57,41.29
80,294,1,0,0,2,0,268,275,-1,true,86,66.67,71.33,69.23,0.0
81,297,1,0,0,2,1,222,52,18,true,85,65.22,58.75,52.5,60.0
82,172,1,0,1,1,0,182,-1,-1,true,84,57.14,0.0,0.0,0.0
83,180,1,0,1,1,0,82,-1,-1,true,85,57.78,0.0,0.0,0.0
84,223,1,0,1,1,0,179,-1,-1,true,86,57.19,0.0,0.0,0.0
