modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
34,28,1,2,0,2,1,35,47,18,true,42,68.57,60.0,63.33,62.5
35,25,1,2,0,2,0,22,47,-1,true,40,56.25,65.0,64.17,0.0
36,37,1,2,0,2,0,47,24,-1,true,39,61.76,65.0,65.0,0.0
37,2,1,2,0,2,0,23,47,-1,true,41,66.13,64.17,63.33,0.0
38,31,1,2,0,2,0,24,35,-1,true,39,66.67,63.16,60.0,0.0
39,23,1,2,1,1,0,30,-1,-1,true,40,66.67,0.0,0.0,0.0
40,18,1,2,1,0,0,-1,-1,-1,true,41,66.67,0.0,0.0,0.0
41,47,1,2,1,0,0,-1,-1,-1,true,42,63.33,0.0,0.0,0.0
42,47,1,2,2,0,0,-1,-1,-1,false,0,64.17,0.0,0.0,0.0
43,30,1,3,0,2,0,47,24,-1,true,50,65.71,65.83,67.37,0.0
44,29,1,3,0,2,0,13,35,-1,true,50,69.67,65.0,65.45,0.0
45,28,1,3,0,2,0,18,13,-1,true,52,70.0,66.67,65.62,0.0
46,17,1,3,0,2,1,47,13,21,true,51,71.43,61.67,65.0,72.86
47,25,1,3,0,2,0,23,47,-1,true,52,69.79,72.5,72.5,0.0
48,31,1,3,0,2,0,21,23,-1,true,51,74.36,73.57,74.17,0.0
49,37,1,3,0,2,0,47,18,-1,true,50,61.76,60.83,62.5,0.0
50,47,1,3,1,0,0,-1,-1,-1,true,51,64.17,0.0,0.0,0.0
51,21,1,3,1,0,0,-1,-1,-1,true,52,75.71,0.0,0.0,0.0
52,13,1,3,2,0,0,-1,-1,-1,false,0,68.75,0.0,0.0,0.0
53,4,1,4,0,0,2,24,22,-1,false,0,87.86,72.37,73.06,0.0
54,11,1,4,0,2,0,35,13,-1,true,64,75.93,70.0,70.62,0.0
55,29,1,4,0,2,1,47,28,35,true,62,71.31,64.17,74.29,70.0
56,17,1,4,0,2,1,47,13,28,true,63,78.57,75.0,70.62,79.14
57,19,1,4,0,2,1,13,24,47,true,64,79.82,71.25,77.89,76.67
58,25,1,4,0,2,0,47,24,-1,true,62,69.79,71.67,72.37,0.0
59,31,1,4,0,1,2,24,35,47,false,0,80.77,73.95,62.73,67.5
60,37,1,4,0,2,0,30,24,-1,true,62,55.88,67.71,62.89,0.0
61,20,1,4,0,2,1,13,22,47,true,63,73.44,63.12,71.67,68.33
62,24,1,4,1,0,0,-1,-1,-1,true,63,72.37,0.0,0.0,0.0
63,47,1,4,1,0,0,-1,-1,-1,true,64,73.33,0.0,0.0,0.0
64,24,1,4,2,0,0,-1,-1,-1,false,0,78.16,0.0,0.0,0.0
65,20,1,5,0,2,0,47,28,-1,true,76,75.0,71.67,76.86,0.0
66,10,1,5,0,2,0,47,35,-1,true,74,73.19,75.0,72.73,0.0
67,13,1,5,0,2,0,21,18,-1,true,74,59.38,75.0,64.17,0.0
68,11,1,5,0,2,0,30,47,-1,true,74,74.07,77.14,72.5,0.0
69,29,1,5,0,2,1,18,23,28,true,75,80.33,72.5,78.33,80.0
70,12,1,5,0,1,2,28,18,47,false,0,82.22,81.14,70.0,75.0
71,19,1,5,0,2,1,23,18,47,true,76,82.46,82.5,73.33,83.33
72,15,1,5,0,2,0,21,18,-1,true,75,77.91,81.43,73.33,0.0
73,37,1,5,0,2,0,21,23,-1,true,77,67.65,83.57,78.33,0.0
74,23,1,5,1,0,0,-1,-1,-1,true,75,74.17,0.0,0.0,0.0
75,23,1,5,1,0,0,-1,-1,-1,true,76,80.83,0.0,0.0,0.0
76,21,1,5,1,0,0,-1,-1,-1,true,77,82.86,0.0,0.0,0.0
77,21,1,5,2,0,0,-1,-1,-1,false,0,84.29,0.0,0.0,0.0
78,20,1,6,0,2,0,24,30,-1,true,88,84.38,77.63,80.0,0.0
79,10,1,6,0,2,0,24,47,-1,true,88,72.46,75.0,74.17,0.0
80,1,1,6,0,2,0,17,24,-1,true,89,83.61,83.57,81.84,0.0
81,11,1,6,0,2,0,18,28,-1,true,90,75.93,78.33,82.0,0.0
82,5,1,6,0,0,2,35,18,-1,false,0,91.7,69.09,77.5,0.0
83,19,1,6,0,2,0,47,35,-1,true,89,78.07,77.5,72.73,0.0
84,25,1,6,0,2,0,28,24,-1,true,88,70.83,81.43,77.37,0.0
85,8,1,6,0,2,1,18,47,24,true,91,81.25,74.17,80.0,79.21
86,27,1,6,0,2,0,47,35,-1,true,90,77.78,75.0,70.91,0.0
87,42,1,6,0,2,1,24,18,47,true,91,78.07,78.68,70.0,73.33
88,30,1,6,1,0,0,-1,-1,-1,true,89,80.57,0.0,0.0,0.0
89,30,1,6,1,1,0,24,-1,-1,true,90,82.0,0.0,0.0,0.0
90,30,1,6,1,1,0,24,-1,-1,true,91,83.14,0.0,0.0,0.0
91,30,1,6,2,0,0,-1,-1,-1,false,0,83.14,0.0,0.0,0.0
92,10,1,7,0,2,0,22,35,-1,true,102,77.54,77.78,71.82,0.0
93,11,1,7,0,2,0,24,21,-1,true,103,77.78,77.37,80.71,0.0
94,29,1,7,0,2,0,21,35,-1,true,101,77.05,85.0,73.64,0.0
95,17,1,7,0,2,0,24,21,-1,true,102,83.93,81.58,87.14,0.0
96,25,1,7,0,2,0,37,24,-1,true,101,78.12,78.82,81.05,0.0
97,8,1,7,0,0,2,35,22,-1,false,0,98.75,70.91,77.5,0.0
98,15,1,7,0,2,0,24,22,-1,true,103,81.4,82.37,80.56,0.0
99,18,1,7,0,2,0,24,28,-1,true,101,66.67,81.58,83.43,0.0
100,19,1,7,0,0,2,35,13,-1,false,0,85.96,77.27,78.12,0.0
101,24,1,7,1,1,0,28,-1,-1,true,102,84.47,0.0,0.0,0.0
102,24,1,7,1,1,0,29,-1,-1,true,103,85.53,0.0,0.0,0.0
103,24,1,7,2,0,0,-1,-1,-1,false,0,85.0,0.0,0.0,0.0
104,20,1,8,0,2,1,47,28,21,true,118,81.25,74.17,84.0,81.43
105,11,1,8,0,2,0,47,30,-1,true,114,80.56,75.83,80.57,0.0
106,13,1,8,0,2,1,21,35,30,true,117,78.12,81.43,70.91,81.43
107,18,1,8,0,2,0,30,29,-1,true,114,66.67,81.14,81.8,0.0
108,39,1,8,0,2,0,37,28,-1,true,116,84.75,81.18,83.14,0.0
109,25,1,8,0,2,0,28,47,-1,true,115,79.17,83.43,78.33,0.0
110,27,1,8,0,2,0,21,47,-1,true,116,78.7,88.57,80.83,0.0
111,15,1,8,0,2,0,21,47,-1,true,115,81.4,81.43,77.5,0.0
112,17,1,8,0,2,0,37,30,-1,true,117,87.5,81.18,84.29,0.0
113,42,1,8,0,2,0,47,35,-1,true,114,87.72,88.33,80.91,0.0
114,30,1,8,1,0,0,-1,-1,-1,true,115,83.43,0.0,0.0,0.0
115,30,1,8,1,1,0,10,-1,-1,true,116,85.71,0.0,0.0,0.0
116,28,1,8,1,0,0,-1,-1,-1,true,117,88.57,0.0,0.0,0.0
117,30,1,8,1,0,0,-1,-1,-1,true,118,86.0,0.0,0.0,0.0
118,30,1,8,2,0,0,-1,-1,-1,false,0,83.43,0.0,0.0,0.0
119,20,1,9,0,2,0,30,24,-1,true,129,78.12,79.14,72.63,0.0
120,23,1,9,0,0,2,28,29,-1,false,0,91.67,79.43,78.03,0.0
121,10,1,9,0,2,0,21,28,-1,true,130,75.36,85.71,84.29,0.0
122,41,1,9,0,2,0,29,21,-1,true,131,77.11,80.33,80.0,0.0
123,13,1,9,0,2,0,30,47,-1,true,129,68.75,78.57,75.0,0.0
124,39,1,9,0,2,0,28,24,-1,true,132,84.75,83.43,80.79,0.0
125,17,1,9,0,2,1,24,22,30,true,130,85.71,80.26,77.78,83.43
126,25,1,9,0,2,0,24,22,-1,true,131,78.12,81.05,78.33,0.0
127,15,1,9,0,2,0,24,29,-1,true,132,81.4,78.42,78.85,0.0
128,35,1,9,0,2,0,24,47,-1,true,129,81.82,81.05,84.17,0.0
129,24,1,9,1,0,0,-1,-1,-1,true,130,82.89,0.0,0.0,0.0
