modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,-1,2,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
3,-1,3,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
4,-1,4,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
5,-1,5,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
6,-1,6,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
7,-1,7,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
8,-1,8,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
9,-1,9,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
10,-1,10,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
11,-1,11,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
12,26,11,0,0,0,0,-1,-1,-1,false,0,81.13,0.0,0.0,0.0
13,57,11,0,0,0,0,-1,-1,-1,false,0,83.33,0.0,0.0,0.0
14,69,11,0,0,0,0,-1,-1,-1,false,0,82.8,0.0,0.0,0.0
15,68,11,0,0,0,0,-1,-1,-1,false,0,88.79,0.0,0.0,0.0
16,72,11,0,0,0,0,-1,-1,-1,false,0,87.5,0.0,0.0,0.0
17,49,11,0,0,0,0,-1,-1,-1,false,0,76.09,0.0,0.0,0.0
18,25,11,0,0,0,0,-1,-1,-1,false,0,80.0,0.0,0.0,0.0
19,46,11,0,0,0,0,-1,-1,-1,false,0,84.13,0.0,0.0,0.0
20,74,11,0,0,0,0,-1,-1,-1,false,0,82.76,0.0,0.0,0.0
21,97,11,0,0,0,0,-1,-1,-1,false,0,87.18,0.0,0.0,0.0
22,9,11,0,0,0,0,-1,-1,-1,false,0,83.96,0.0,0.0,0.0
23,50,11,0,0,0,0,-1,-1,-1,false,0,80.77,0.0,0.0,0.0
24,71,11,0,0,0,0,-1,-1,-1,false,0,83.75,0.0,0.0,0.0
25,7,11,0,0,0,0,-1,-1,-1,false,0,80.33,0.0,0.0,0.0
26,31,11,0,0,0,0,-1,-1,-1,false,0,85.54,0.0,0.0,0.0
27,61,11,0,0,0,0,-1,-1,-1,false,0,86.89,0.0,0.0,0.0
28,60,11,0,0,0,0,-1,-1,-1,false,0,89.01,0.0,0.0,0.0
29,43,11,0,0,0,0,-1,-1,-1,false,0,91.3,0.0,0.0,0.0
30,86,11,0,0,0,0,-1,-1,-1,false,0,87.96,0.0,0.0,0.0
31,8,11,0,0,0,0,-1,-1,-1,false,0,90.56,0.0,0.0,0.0
32,-1,12,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
33,26,12,0,0,0,0,-1,-1,-1,false,0,85.85,0.0,0.0,0.0
34,57,12,0,0,0,1,64,-1,-1,false,0,78.95,87.5,0.0,0.0
35,69,12,0,0,0,0,-1,-1,-1,false,0,88.17,0.0,0.0,0.0
36,68,12,0,0,0,0,-1,-1,-1,false,0,85.34,0.0,0.0,0.0
37,72,12,0,0,0,0,-1,-1,-1,false,0,87.5,0.0,0.0,0.0
38,49,12,0,0,0,0,-1,-1,-1,false,0,78.26,0.0,0.0,0.0
39,25,12,0,0,0,0,-1,-1,-1,false,0,81.11,0.0,0.0,0.0
40,46,12,0,0,0,0,-1,-1,-1,false,0,82.54,0.0,0.0,0.0
41,74,12,0,0,0,0,-1,-1,-1,false,0,75.86,0.0,0.0,0.0
42,97,12,0,0,0,0,-1,-1,-1,false,0,86.54,0.0,0.0,0.0
43,9,12,0,0,0,0,-1,-1,-1,false,0,82.08,0.0,0.0,0.0
44,50,12,0,0,0,0,-1,-1,-1,false,0,84.62,0.0,0.0,0.0
45,71,12,0,0,0,0,-1,-1,-1,false,0,82.5,0.0,0.0,0.0
46,7,12,0,0,0,0,-1,-1,-1,false,0,86.89,0.0,0.0,0.0
47,31,12,0,0,0,0,-1,-1,-1,false,0,88.55,0.0,0.0,0.0
48,61,12,0,0,0,0,-1,-1,-1,false,0,84.43,0.0,0.0,0.0
49,60,12,0,0,0,0,-1,-1,-1,false,0,89.01,0.0,0.0,0.0
50,43,12,0,0,0,0,-1,-1,-1,false,0,85.87,0.0,0.0,0.0
51,86,12,0,0,0,0,-1,-1,-1,false,0,87.96,0.0,0.0,0.0
52,8,12,0,0,0,0,-1,-1,-1,false,0,92.22,0.0,0.0,0.0
53,-1,13,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
54,9,13,0,0,0,0,-1,-1,-1,false,0,83.02,0.0,0.0,0.0
55,7,13,0,0,0,0,-1,-1,-1,false,0,86.89,0.0,0.0,0.0
56,8,13,0,0,0,0,-1,-1,-1,false,0,89.44,0.0,0.0,0.0
57,18,13,0,0,0,0,-1,-1,-1,false,0,73.53,0.0,0.0,0.0
58,13,13,0,0,0,0,-1,-1,-1,false,0,65.79,0.0,0.0,0.0
59,-1,14,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
60,8,14,0,0,0,0,-1,-1,-1,false,0,89.44,0.0,0.0,0.0
61,18,14,0,0,1,1,1,17,15,false,0,76.47,79.35,70.0,80.22
62,13,14,0,0,0,0,-1,-1,-1,false,0,65.79,0.0,0.0,0.0
63,14,14,0,0,0,0,-1,-1,-1,false,0,84.52,0.0,0.0,0.0
64,3,14,0,0,0,0,-1,-1,-1,false,0,80.93,0.0,0.0,0.0
65,-1,15,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
66,8,15,0,0,0,0,-1,-1,-1,false,0,87.78,0.0,0.0,0.0
67,18,15,0,0,0,0,-1,-1,-1,false,0,76.47,0.0,0.0,0.0
68,13,15,0,0,0,0,-1,-1,-1,false,0,76.32,0.0,0.0,0.0
69,14,15,0,0,0,0,-1,-1,-1,false,0,85.71,0.0,0.0,0.0
70,3,15,0,0,0,0,-1,-1,-1,false,0,85.05,0.0,0.0,0.0
71,-1,16,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
72,8,16,0,0,0,0,-1,-1,-1,false,0,91.11,0.0,0.0,0.0
73,18,16,0,0,0,1,1,17,15,false,0,86.76,79.35,70.0,80.77
74,13,16,0,0,0,0,-1,-1,-1,false,0,71.05,0.0,0.0,0.0
75,14,16,0,0,0,0,-1,-1,-1,false,0,89.29,0.0,0.0,0.0
76,3,16,0,0,0,0,-1,-1,-1,false,0,89.69,0.0,0.0,0.0
77,-1,17,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
78,8,17,0,0,0,0,-1,-1,-1,false,0,92.78,0.0,0.0,0.0
79,18,17,0,0,0,0,-1,-1,-1,false,0,82.35,0.0,0.0,0.0
80,13,17,0,0,0,0,-1,-1,-1,false,0,78.95,0.0,0.0,0.0
81,14,17,0,0,0,0,-1,-1,-1,false,0,79.76,0.0,0.0,0.0
82,3,17,0,0,0,0,-1,-1,-1,false,0,85.57,0.0,0.0,0.0
83,-1,18,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
84,8,18,0,0,0,0,-1,-1,-1,false,0,86.11,0.0,0.0,0.0
85,18,18,0,0,0,0,-1,-1,-1,false,0,77.94,0.0,0.0,0.0
86,13,18,0,0,0,0,-1,-1,-1,false,0,65.79,0.0,0.0,0.0
87,14,18,0,0,0,0,-1,-1,-1,false,0,86.9,0.0,0.0,0.0
88,3,18,0,0,0,0,-1,-1,-1,false,0,87.63,0.0,0.0,0.0
89,-1,19,0,2,2,0,-1,-1,1,true,0,0.0,0.0,0.0,3.26
90,8,19,0,0,1,0,1,-1,-1,false,0,90.56,90.22,0.0,0.0
91,18,19,0,0,0,1,1,-1,-1,false,0,85.29,76.09,0.0,0.0
92,13,19,0,0,1,0,1,-1,-1,false,0,76.32,75.0,0.0,0.0
93,14,19,0,0,0,0,-1,-1,-1,false,0,83.33,0.0,0.0,0.0
94,3,19,0,0,0,2,1,17,-1,false,0,85.05,91.3,77.5,0.0
95,-1,20,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
96,8,20,0,0,1,0,1,-1,-1,false,0,86.67,88.04,0.0,0.0
97,18,20,0,0,2,0,1,17,-1,false,0,82.35,78.26,80.0,0.0
98,13,20,0,0,0,0,-1,-1,-1,false,0,68.42,0.0,0.0,0.0
99,14,20,0,0,0,0,-1,-1,-1,false,0,83.33,0.0,0.0,0.0
100,3,20,0,0,2,1,1,17,15,false,0,86.6,84.78,80.0,81.87
101,-1,21,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
102,8,21,0,0,2,1,1,17,15,false,0,84.44,92.39,82.5,88.46
103,18,21,0,0,1,2,1,17,15,false,0,80.88,85.87,72.5,86.26
104,13,21,0,0,0,2,1,15,-1,false,0,57.89,75.0,71.43,0.0
105,14,21,0,0,2,1,17,1,15,false,0,86.9,75.0,88.04,84.07
106,3,21,0,0,2,1,1,17,15,false,0,89.18,93.48,82.5,86.81
107,-1,22,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
108,-1,23,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
109,8,23,0,0,2,0,1,15,-1,false,0,88.89,88.04,86.81,0.0
110,18,23,0,0,1,2,1,17,15,false,0,86.76,83.7,62.5,76.37
111,13,23,0,0,1,0,1,-1,-1,false,0,71.05,75.0,0.0,0.0
112,14,23,0,0,0,0,-1,-1,-1,false,0,82.14,0.0,0.0,0.0
113,3,23,0,0,2,0,1,17,-1,false,0,90.21,92.39,92.5,0.0
114,-1,24,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
115,-1,25,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
116,8,25,0,0,1,2,1,17,15,false,0,88.89,88.04,80.0,82.97
117,18,25,0,0,1,2,1,17,15,false,0,88.24,83.7,67.5,76.37
118,13,25,0,0,1,0,1,-1,-1,false,0,78.95,78.26,0.0,0.0
119,14,25,0,0,2,0,17,1,-1,false,0,82.14,80.0,83.7,0.0
120,3,25,0,0,1,0,1,-1,-1,false,0,88.66,91.3,0.0,0.0
121,-1,26,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
122,12,26,0,0,0,1,17,-1,-1,false,0,70.0,75.0,0.0,0.0
123,2,26,0,0,2,1,15,1,0,false,0,85.11,86.81,92.39,83.51
124,9,26,0,0,0,2,1,17,-1,false,0,84.91,92.39,92.5,0.0
125,7,26,0,0,2,1,0,1,15,false,0,83.61,82.98,89.13,84.07
126,8,26,0,0,0,0,-1,-1,-1,false,0,86.67,0.0,0.0,0.0
127,-1,27,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
128,12,27,0,0,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
129,2,27,0,0,1,1,15,1,-1,false,0,87.77,81.87,88.04,0.0
130,9,27,0,0,0,1,1,-1,-1,false,0,71.7,88.04,0.0,0.0
131,7,27,0,0,0,0,-1,-1,-1,false,0,79.51,0.0,0.0,0.0
132,8,27,0,0,0,0,-1,-1,-1,false,0,85.0,0.0,0.0,0.0
133,-1,28,0,2,0,2,-1,-1,1,true,0,0.0,0.0,0.0,22.83
134,12,28,0,0,0,2,17,15,-1,false,0,43.33,70.0,63.74,0.0
135,2,28,0,0,2,0,15,1,-1,false,0,83.51,87.36,86.96,0.0
136,9,28,0,0,1,0,1,-1,-1,false,0,85.85,84.78,0.0,0.0
137,7,28,0,0,1,0,0,-1,-1,false,0,84.43,84.04,0.0,0.0
138,8,28,0,0,0,1,1,-1,-1,false,0,90.0,83.7,0.0,0.0
139,-1,29,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
140,12,29,0,0,0,0,-1,-1,-1,false,0,63.33,0.0,0.0,0.0
141,2,29,0,0,2,0,15,1,-1,false,0,87.77,89.01,85.87,0.0
142,9,29,0,0,1,0,1,-1,-1,false,0,77.36,81.52,0.0,0.0
143,7,29,0,0,0,0,-1,-1,-1,false,0,86.89,0.0,0.0,0.0
144,8,29,0,0,0,0,-1,-1,-1,false,0,86.67,0.0,0.0,0.0
145,-1,30,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
146,-1,31,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
147,12,31,0,0,0,2,17,1,-1,false,0,73.33,80.0,61.96,0.0
148,2,31,0,0,1,2,15,1,0,false,0,91.49,86.26,86.96,85.64
149,9,31,0,0,1,2,1,17,15,false,0,89.62,82.61,85.0,81.32
150,7,31,0,0,0,2,0,1,-1,false,0,81.15,72.34,76.09,0.0
151,8,31,0,0,0,2,1,17,-1,false,0,88.89,82.61,95.0,0.0
152,-1,32,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
153,12,32,0,0,0,0,-1,-1,-1,false,0,80.0,0.0,0.0,0.0
154,2,32,0,0,1,0,15,-1,-1,false,0,86.7,83.52,0.0,0.0
155,9,32,0,0,0,1,1,-1,-1,false,0,80.19,90.22,0.0,0.0
156,7,32,0,0,0,0,-1,-1,-1,false,0,87.7,0.0,0.0,0.0
157,8,32,0,0,0,0,-1,-1,-1,false,0,92.22,0.0,0.0,0.0
158,-1,33,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
159,12,33,0,0,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
160,2,33,0,0,1,0,15,-1,-1,false,0,89.89,85.16,0.0,0.0
161,9,33,0,0,1,0,1,-1,-1,false,0,79.25,83.7,0.0,0.0
162,7,33,0,0,0,0,-1,-1,-1,false,0,90.98,0.0,0.0,0.0
163,8,33,0,0,0,0,-1,-1,-1,false,0,89.44,0.0,0.0,0.0
164,-1,34,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
165,12,34,0,0,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
166,2,34,0,0,2,0,15,1,-1,false,0,88.3,86.26,89.13,0.0
167,9,34,0,0,1,0,1,-1,-1,false,0,83.96,84.78,0.0,0.0
168,7,34,0,0,0,0,-1,-1,-1,false,0,79.51,0.0,0.0,0.0
169,8,34,0,0,0,0,-1,-1,-1,false,0,84.44,0.0,0.0,0.0
170,-1,35,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
171,-1,36,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
172,12,36,0,0,1,0,17,-1,-1,false,0,73.33,72.5,0.0,0.0
173,2,36,0,0,2,0,15,1,-1,false,0,88.3,84.62,89.13,0.0
174,9,36,0,0,1,2,1,15,0,false,0,91.51,86.96,78.57,79.79
175,7,36,0,0,1,0,0,-1,-1,false,0,85.25,82.98,0.0,0.0
176,8,36,0,0,2,0,1,17,-1,false,0,88.89,90.22,90.0,0.0
177,-1,37,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
178,12,37,0,0,2,1,17,1,15,false,0,66.67,70.0,71.74,67.03
179,2,37,0,0,1,0,15,-1,-1,false,0,85.64,82.97,0.0,0.0
180,9,37,0,0,2,1,1,15,17,false,0,84.91,92.39,82.97,80.0
181,7,37,0,0,2,0,0,1,-1,false,0,82.79,86.17,85.87,0.0
182,8,37,0,0,0,0,-1,-1,-1,false,0,87.78,0.0,0.0,0.0
183,-1,38,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
184,12,38,0,0,1,1,17,1,-1,false,0,60.0,60.0,68.48,0.0
185,2,38,0,0,2,0,15,1,-1,false,0,89.89,87.91,93.48,0.0
186,9,38,0,0,1,0,1,-1,-1,false,0,82.08,86.96,0.0,0.0
187,7,38,0,0,0,0,-1,-1,-1,false,0,76.23,0.0,0.0,0.0
188,8,38,0,0,0,0,-1,-1,-1,false,0,81.67,0.0,0.0,0.0
189,-1,39,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
190,12,39,0,0,0,0,-1,-1,-1,false,0,70.0,0.0,0.0,0.0
191,2,39,0,0,0,0,-1,-1,-1,false,0,81.38,0.0,0.0,0.0
192,9,39,0,0,0,0,-1,-1,-1,false,0,82.08,0.0,0.0,0.0
193,7,39,0,0,0,0,-1,-1,-1,false,0,86.07,0.0,0.0,0.0
194,8,39,0,0,0,0,-1,-1,-1,false,0,87.78,0.0,0.0,0.0
195,-1,40,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
196,12,40,0,0,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
197,2,40,0,0,0,0,-1,-1,-1,false,0,84.04,0.0,0.0,0.0
198,9,40,0,0,0,0,-1,-1,-1,false,0,79.25,0.0,0.0,0.0
199,7,40,0,0,0,0,-1,-1,-1,false,0,80.33,0.0,0.0,0.0
200,8,40,0,0,0,0,-1,-1,-1,false,0,89.44,0.0,0.0,0.0
201,-1,41,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
202,12,41,0,0,0,0,-1,-1,-1,false,0,80.0,0.0,0.0,0.0
203,2,41,0,0,0,0,-1,-1,-1,false,0,87.77,0.0,0.0,0.0
204,9,41,0,0,1,0,1,-1,-1,false,0,83.96,88.04,0.0,0.0
205,7,41,0,0,0,0,-1,-1,-1,false,0,86.89,0.0,0.0,0.0
206,8,41,0,0,0,0,-1,-1,-1,false,0,92.78,0.0,0.0,0.0
207,-1,42,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
208,12,42,0,0,0,1,17,-1,-1,false,0,66.67,77.5,0.0,0.0
209,2,42,0,0,2,0,15,1,-1,false,0,81.38,84.62,84.78,0.0
210,9,42,0,0,1,2,1,17,15,false,0,86.79,81.52,90.0,81.32
211,7,42,0,0,2,0,0,1,-1,false,0,83.61,79.26,84.78,0.0
212,8,42,0,0,2,1,1,17,15,false,0,86.67,85.87,92.5,86.81
213,-1,43,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
214,12,43,0,0,0,0,-1,-1,-1,false,0,70.0,0.0,0.0,0.0
215,2,43,0,0,0,0,-1,-1,-1,false,0,86.17,0.0,0.0,0.0
216,9,43,0,0,0,0,-1,-1,-1,false,0,85.85,0.0,0.0,0.0
217,7,43,0,0,0,0,-1,-1,-1,false,0,80.33,0.0,0.0,0.0
218,8,43,0,0,0,0,-1,-1,-1,false,0,83.33,0.0,0.0,0.0
219,12,43,0,0,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
220,2,43,0,0,0,1,15,-1,-1,false,0,76.6,82.97,0.0,0.0
221,9,43,0,0,2,1,1,17,15,false,0,83.96,83.7,77.5,79.12
222,7,43,0,0,0,1,0,-1,-1,false,0,87.7,80.85,0.0,0.0
223,8,43,0,0,2,1,1,17,15,false,0,86.67,85.87,95.0,87.91
224,-1,44,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
225,26,44,0,0,0,1,91,-1,-1,false,0,84.91,77.63,0.0,0.0
226,57,44,0,0,1,1,21,64,-1,false,0,77.19,71.43,72.5,0.0
