modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,25,1,0,0,2,1,25,49,4,true,36,47.62,35.71,40.93,43.64
3,63,1,0,0,2,0,4,33,-1,true,37,59.18,59.09,62.57,0.0
4,67,1,0,0,2,0,25,56,-1,true,32,66.89,63.33,65.41,0.0
5,70,1,0,0,2,1,45,4,41,true,34,60.98,62.5,52.73,68.18
6,71,1,0,0,2,0,41,15,-1,true,34,62.2,63.64,62.33,0.0
7,77,1,0,0,2,0,62,29,-1,true,34,67.9,64.22,61.18,0.0
8,85,1,0,0,2,0,53,56,-1,true,35,57.5,63.75,64.32,0.0
9,89,1,0,0,2,0,4,36,-1,true,36,50.0,46.36,50.0,0.0
10,92,1,0,0,2,0,40,5,-1,true,35,61.19,62.16,65.07,0.0
11,99,1,0,0,2,0,40,41,-1,true,33,37.5,32.16,34.55,0.0
12,102,1,0,0,2,0,5,48,-1,true,32,41.18,52.88,48.75,0.0
13,104,1,0,0,2,0,15,46,-1,true,35,54.24,62.09,62.0,0.0
14,109,1,0,0,2,0,49,32,-1,true,33,64.08,66.85,68.77,0.0
15,115,1,0,0,2,1,53,33,41,true,36,65.08,57.19,59.57,58.18
16,116,1,0,0,2,0,56,5,-1,true,33,61.86,62.7,60.27,0.0
17,117,1,0,0,2,0,53,25,-1,true,36,59.88,67.19,65.71,0.0
18,119,1,0,0,2,0,46,5,-1,true,34,39.58,39.14,43.7,0.0
19,120,1,0,0,2,0,57,15,-1,true,34,61.9,63.1,62.33,0.0
20,121,1,0,0,2,1,15,4,29,true,36,70.59,70.47,62.73,64.9
21,122,1,0,0,2,0,32,48,-1,true,32,60.32,63.58,57.5,0.0
22,124,1,0,0,2,0,40,4,-1,true,32,69.9,63.73,70.91,0.0
23,125,1,0,0,2,1,6,40,32,true,36,70.59,64.63,62.94,66.3
24,130,1,0,0,2,0,48,15,-1,true,32,46.15,48.75,53.95,0.0
25,132,1,0,0,2,0,29,49,-1,true,33,66.03,63.73,66.67,0.0
26,134,1,0,0,2,0,4,41,-1,true,32,64.46,68.18,68.18,0.0
27,135,1,0,0,2,1,25,45,6,true,37,60.47,50.48,59.0,54.15
28,136,1,0,0,2,0,33,25,-1,true,33,62.86,63.57,57.62,0.0
29,140,1,0,0,2,0,61,32,-1,true,35,69.23,68.82,67.41,0.0
30,147,1,0,0,2,0,0,48,-1,true,34,63.29,64.18,64.0,0.0
31,148,1,0,0,2,0,15,4,-1,true,37,74.19,77.44,69.09,0.0
32,40,1,0,1,1,0,42,-1,-1,true,33,54.31,0.0,0.0,0.0
33,25,1,0,1,0,0,-1,-1,-1,true,35,56.67,0.0,0.0,0.0
34,15,1,0,1,0,0,-1,-1,-1,true,35,55.12,0.0,0.0,0.0
35,5,1,0,1,0,0,-1,-1,-1,true,37,59.73,0.0,0.0,0.0
36,15,1,0,1,0,0,-1,-1,-1,true,37,53.26,0.0,0.0,0.0
37,4,1,0,2,0,0,-1,-1,-1,false,0,52.73,0.0,0.0,0.0
38,72,1,1,0,2,0,0,18,-1,true,68,69.57,82.02,80.8,0.0
39,144,1,1,0,2,0,16,56,-1,true,66,70.45,80.36,68.11,0.0
40,84,1,1,0,2,0,18,39,-1,true,67,70.37,74.4,63.89,0.0
41,132,1,1,0,2,0,32,18,-1,true,66,71.79,74.32,89.6,0.0
42,125,1,1,0,2,0,21,42,-1,true,69,75.0,84.0,72.74,0.0
43,110,1,1,0,2,0,41,32,-1,true,70,63.46,63.64,67.78,0.0
44,82,1,1,0,2,0,15,63,-1,true,69,80.53,78.37,76.53,0.0
45,120,1,1,0,2,0,15,21,-1,true,71,72.22,74.65,84.49,0.0
46,86,1,1,0,2,0,15,56,-1,true,66,74.07,71.63,70.0,0.0
47,121,1,1,0,2,0,37,18,-1,true,67,73.53,72.61,90.0,0.0
48,35,1,1,0,2,0,45,39,-1,true,68,74.14,74.25,74.72,0.0
49,134,1,1,0,2,0,55,18,-1,true,66,66.87,73.81,87.2,0.0
50,127,1,1,0,2,1,29,55,15,true,68,77.78,67.25,71.9,71.63
51,147,1,1,0,2,0,41,29,-1,true,68,68.99,70.0,65.49,0.0
52,122,1,1,0,2,0,51,15,-1,true,66,68.25,68.44,68.84,0.0
53,140,1,1,0,2,0,51,6,-1,true,71,74.62,77.56,89.85,0.0
54,93,1,1,0,2,0,64,33,-1,true,67,69.74,71.75,71.29,0.0
55,77,1,1,0,2,0,41,39,-1,true,70,77.16,77.27,76.94,0.0
56,85,1,1,0,2,0,61,37,-1,true,69,75.0,73.82,73.8,0.0
57,117,1,1,0,2,0,55,15,-1,true,70,68.02,70.48,72.09,0.0
58,95,1,1,0,2,0,33,41,-1,true,68,71.43,68.29,69.09,0.0
59,81,1,1,0,2,0,63,56,-1,true,67,68.75,69.59,70.81,0.0
60,74,1,1,0,2,0,55,32,-1,true,68,68.37,66.67,69.63,0.0
61,90,1,1,0,0,2,55,39,-1,false,0,87.5,60.95,65.0,0.0
62,96,1,1,0,2,0,0,15,-1,true,69,63.24,79.78,68.37,0.0
63,99,1,1,0,2,0,51,45,-1,true,67,65.62,69.56,67.25,0.0
64,123,1,1,0,2,0,6,16,-1,true,69,73.68,75.51,77.79,0.0
65,133,1,1,0,2,0,61,15,-1,true,69,74.0,71.76,72.56,0.0
66,16,1,1,1,0,0,-1,-1,-1,true,67,73.75,0.0,0.0,0.0
67,18,1,1,1,0,0,-1,-1,-1,true,70,72.33,0.0,0.0,0.0
68,29,1,1,1,0,0,-1,-1,-1,true,70,66.47,0.0,0.0,0.0
69,15,1,1,1,0,0,-1,-1,-1,true,71,73.26,0.0,0.0,0.0
70,0,1,1,1,0,0,-1,-1,-1,true,71,73.19,0.0,0.0,0.0
71,0,1,1,2,0,0,-1,-1,-1,false,0,73.74,0.0,0.0,0.0
72,72,1,2,0,2,0,5,41,-1,true,102,76.09,93.21,77.27,0.0
73,82,1,2,0,2,1,46,15,37,true,104,89.47,86.29,60.88,85.33
74,70,1,2,0,2,0,48,26,-1,true,101,75.61,80.0,94.24,0.0
75,48,1,2,0,2,0,7,56,-1,true,100,73.75,95.26,78.65,0.0
76,149,1,2,0,2,0,7,28,-1,true,102,77.27,98.47,96.76,0.0
77,84,1,2,0,2,1,26,48,5,true,103,88.89,88.96,74.5,90.08
78,121,1,2,0,2,0,36,26,-1,true,104,81.18,81.7,96.48,0.0
79,146,1,2,0,2,0,40,39,-1,true,100,87.5,82.16,81.67,0.0
80,86,1,2,0,2,0,15,41,-1,true,100,83.33,98.23,79.09,0.0
81,1,1,2,0,2,0,32,41,-1,true,100,86.84,84.44,81.82,0.0
82,136,1,2,0,2,0,39,48,-1,true,100,79.29,81.39,78.0,0.0
83,102,1,2,0,2,0,34,5,-1,true,102,77.94,75.57,91.89,0.0
84,122,1,2,0,2,0,37,50,-1,true,103,77.78,78.8,79.57,0.0
85,127,1,2,0,2,0,21,15,-1,true,102,81.94,78.77,97.12,0.0
86,77,1,2,0,2,0,7,39,-1,true,103,80.25,97.11,82.5,0.0
87,93,1,2,0,2,0,50,55,-1,true,100,84.21,81.16,79.05,0.0
88,140,1,2,0,2,0,39,21,-1,true,104,78.46,83.89,83.42,0.0
89,52,1,2,0,2,0,28,50,-1,true,101,79.17,94.33,79.57,0.0
90,117,1,2,0,2,0,40,48,-1,true,101,77.91,80.59,82.5,0.0
91,133,1,2,0,2,1,55,15,33,true,103,86.0,75.71,98.79,79.86
92,104,1,2,0,2,0,7,32,-1,true,103,78.81,96.0,81.11,0.0
93,130,1,2,0,2,0,55,5,-1,true,101,76.92,77.14,93.53,0.0
94,138,1,2,0,1,2,46,15,28,false,0,86.46,84.86,59.91,59.1
95,90,1,2,0,2,1,40,28,32,true,104,87.5,84.12,59.28,86.54
96,147,1,2,0,2,0,62,39,-1,true,102,80.38,79.64,81.39,0.0
97,65,1,2,0,2,0,34,7,-1,true,104,82.29,78.57,94.64,0.0
98,95,1,2,0,0,2,33,40,-1,false,0,87.5,77.71,77.25,0.0
99,81,1,2,0,2,0,15,32,-1,true,101,80.21,95.72,77.41,0.0
100,41,1,2,1,0,0,-1,-1,-1,true,101,84.55,0.0,0.0,0.0
101,26,1,2,1,1,0,27,-1,-1,true,102,81.47,0.0,0.0,0.0
102,7,1,2,1,0,0,-1,-1,-1,true,103,81.86,0.0,0.0,0.0
103,5,1,2,1,0,0,-1,-1,-1,true,104,79.32,0.0,0.0,0.0
104,5,1,2,1,0,0,-1,-1,-1,true,105,81.23,0.0,0.0,0.0
105,5,1,2,2,0,0,-1,-1,-1,false,0,81.23,0.0,0.0,0.0
106,125,1,3,0,2,0,33,41,-1,true,136,85.29,82.57,86.36,0.0
107,38,1,3,0,2,0,15,59,-1,true,135,72.06,85.12,83.88,0.0
108,32,1,3,0,2,0,63,41,-1,true,134,83.95,81.63,83.64,0.0
109,89,1,3,0,2,0,4,15,-1,true,135,90.0,83.64,83.72,0.0
110,77,1,3,0,2,0,15,63,-1,true,138,82.72,85.12,82.24,0.0
111,58,1,3,0,2,0,41,4,-1,true,134,84.0,84.55,83.64,0.0
112,84,1,3,0,2,0,36,0,-1,true,139,88.89,83.2,99.43,0.0
113,102,1,3,0,2,0,29,40,-1,true,136,80.88,93.65,82.55,0.0
114,134,1,3,0,2,0,55,40,-1,true,135,80.12,81.43,84.51,0.0
115,82,1,3,0,2,0,61,40,-1,true,134,86.84,84.41,83.92,0.0
116,114,1,3,0,1,2,40,39,6,false,0,91.43,83.14,84.44,58.56
117,136,1,3,0,2,0,53,59,-1,true,137,82.14,79.06,79.1,0.0
118,121,1,3,0,2,0,46,70,-1,true,134,82.35,81.71,83.41,0.0
119,85,1,3,0,2,0,70,55,-1,true,136,85.83,84.39,81.9,0.0
120,147,1,3,0,2,1,27,15,4,true,138,85.44,58.75,84.19,84.55
121,137,1,3,0,2,0,39,72,-1,true,135,82.35,85.0,82.17,0.0
122,123,1,3,0,2,1,6,61,15,true,138,86.84,58.22,83.24,83.49
123,87,1,3,0,2,0,59,55,-1,true,134,85.71,85.67,84.29,0.0
124,117,1,3,0,2,0,51,0,-1,true,138,80.81,86.0,99.3,0.0
125,133,1,3,0,2,0,41,29,-1,true,136,85.0,81.82,95.06,0.0
126,95,1,3,0,2,1,51,53,15,true,137,89.29,84.67,80.94,83.95
127,135,1,3,0,2,0,55,39,-1,true,135,83.72,81.9,85.56,0.0
128,81,1,3,0,2,0,4,53,-1,true,135,81.25,80.0,79.38,0.0
129,74,1,3,0,2,0,15,51,-1,true,136,79.59,83.72,84.44,0.0
130,90,1,3,0,2,1,55,51,46,true,137,90.62,81.43,86.44,84.29
131,0,1,3,0,2,1,0,33,27,true,139,96.92,98.24,79.86,97.86
132,99,1,3,0,2,0,4,33,-1,true,137,84.38,83.64,82.29,0.0
133,94,1,3,0,2,1,0,4,39,true,134,86.36,58.62,82.73,84.72
134,4,1,3,1,0,0,-1,-1,-1,true,137,82.73,0.0,0.0,0.0
135,0,1,3,1,0,0,-1,-1,-1,true,137,83.85,0.0,0.0,0.0
136,29,1,3,1,0,0,-1,-1,-1,true,138,79.61,0.0,0.0,0.0
137,4,1,3,1,0,0,-1,-1,-1,true,138,82.73,0.0,0.0,0.0
138,0,1,3,1,0,0,-1,-1,-1,true,139,83.63,0.0,0.0,0.0
139,0,1,3,2,0,0,-1,-1,-1,false,0,83.3,0.0,0.0,0.0
140,2,1,4,0,0,2,15,63,-1,false,0,96.47,84.19,82.04,0.0
141,125,1,4,0,2,1,10,46,5,true,170,84.56,58.19,83.14,97.81
142,89,1,4,0,1,2,3,56,63,false,0,90.0,59.55,84.05,81.43
143,102,1,4,0,0,2,6,3,-1,false,0,85.29,59.41,59.64,0.0
144,116,1,4,0,2,1,56,3,34,true,170,84.75,83.78,59.64,82.86
145,132,1,4,0,2,0,32,61,-1,true,171,83.33,85.8,85.29,0.0
146,26,1,4,0,0,2,34,50,-1,false,0,96.0,83.43,84.2,0.0
147,41,1,4,0,1,2,21,15,6,false,0,90.91,58.3,84.19,59.76
148,147,1,4,0,2,0,70,0,-1,true,170,85.44,84.39,83.63,0.0
149,140,1,4,0,2,1,65,3,56,true,169,83.85,83.54,59.91,83.78
150,123,1,4,0,2,0,0,5,-1,true,168,86.84,83.08,97.64,0.0
151,85,1,4,0,1,2,61,10,3,false,0,85.0,84.71,58.26,59.82
152,87,1,4,0,2,0,15,32,-1,true,171,83.93,85.58,85.93,0.0
153,117,1,4,0,2,1,21,10,0,true,172,80.81,58.21,99.52,83.08
154,133,1,4,0,2,0,5,33,-1,true,169,84.0,97.97,82.29,0.0
155,95,1,4,0,2,0,33,51,-1,true,170,83.93,81.57,85.56,0.0
156,104,1,4,0,2,0,56,15,-1,true,168,77.97,83.78,83.95,0.0
157,129,1,4,0,2,0,56,51,-1,true,169,76.77,84.05,85.56,0.0
158,135,1,4,0,2,0,56,68,-1,true,168,83.72,84.32,84.58,0.0
159,109,1,4,0,2,0,50,37,-1,true,171,78.87,83.91,83.04,0.0
160,130,1,4,0,2,0,51,15,-1,true,168,82.69,85.56,84.19,0.0
161,118,1,4,0,2,0,68,51,-1,true,168,80.77,83.75,85.56,0.0
162,71,1,4,0,2,0,46,65,-1,true,169,78.05,83.14,83.54,0.0
163,148,1,4,0,2,1,0,3,5,true,171,84.95,83.08,59.27,97.48
164,38,1,4,0,2,0,5,32,-1,true,170,72.06,97.81,84.57,0.0
165,82,1,4,0,2,0,37,50,-1,true,169,87.37,83.04,84.2,0.0
166,92,1,4,0,2,0,15,32,-1,true,168,79.1,84.19,84.81,0.0
167,99,1,4,0,2,0,50,70,-1,true,169,84.38,84.2,84.15,0.0
168,5,1,4,1,0,2,0,3,-1,true,170,81.64,0.0,0.0,0.0
169,33,1,4,1,0,0,-1,-1,-1,true,171,81.86,0.0,0.0,0.0
170,5,1,4,1,0,0,-1,-1,-1,true,171,81.51,0.0,0.0,0.0
171,3,1,4,1,0,0,-1,-1,-1,true,172,85.71,0.0,0.0,0.0
172,0,1,4,2,0,0,-1,-1,-1,false,0,83.52,0.0,0.0,0.0
173,65,1,5,0,0,2,63,49,-1,false,0,89.58,81.84,80.19,0.0
174,125,1,5,0,2,1,25,15,0,true,205,85.29,83.33,59.58,83.74
175,120,1,5,0,2,0,41,6,-1,true,206,81.75,82.73,85.12,0.0
176,102,1,5,0,2,1,21,61,32,true,206,85.29,58.59,84.71,84.81
177,72,1,5,0,2,0,0,34,-1,true,202,80.43,83.41,82.86,0.0
178,84,1,5,0,2,1,15,53,51,true,203,88.89,59.58,83.12,85.56
179,70,1,5,0,2,0,39,41,-1,true,203,85.37,84.72,82.73,0.0
180,116,1,5,0,2,1,47,15,0,true,204,84.75,83.7,59.58,83.63
181,67,1,5,0,2,0,34,33,-1,true,202,87.16,82.71,82.14,0.0
182,127,1,5,0,2,0,32,25,-1,true,204,80.56,85.06,83.33,0.0
183,122,1,5,0,2,0,36,0,-1,true,206,81.75,84.3,83.52,0.0
184,93,1,5,0,2,0,49,33,-1,true,205,86.84,80.37,82.43,0.0
185,140,1,5,0,2,0,61,37,-1,true,205,83.85,84.71,82.93,0.0
186,85,1,5,0,2,1,15,41,34,true,205,85.0,59.58,82.73,83.29
187,133,1,5,0,2,0,25,49,-1,true,203,84.0,83.33,80.19,0.0
188,95,1,5,0,2,0,33,25,-1,true,202,83.93,82.14,83.33,0.0
189,104,1,5,0,2,1,15,25,36,true,206,77.97,59.58,83.33,84.1
190,130,1,5,0,2,0,41,32,-1,true,203,82.69,83.64,84.94,0.0
191,81,1,5,0,2,0,50,39,-1,true,203,81.25,84.2,84.72,0.0
192,109,1,5,0,2,0,51,47,-1,true,203,79.58,85.56,83.84,0.0
193,64,1,5,0,2,0,32,47,-1,true,204,88.6,85.43,83.56,0.0
194,138,1,5,0,2,0,50,3,-1,true,204,87.5,84.2,85.71,0.0
195,141,1,5,0,2,0,53,3,-1,true,202,90.0,83.44,85.84,0.0
196,99,1,5,0,2,1,50,15,47,true,202,84.38,84.2,59.58,83.56
197,147,1,5,0,2,0,39,25,-1,true,206,85.44,85.0,83.33,0.0
198,89,1,5,0,0,2,3,51,-1,false,0,92.86,85.58,85.56,0.0
199,136,1,5,0,2,0,37,53,-1,true,202,80.71,82.83,82.5,0.0
200,123,1,5,0,1,2,6,63,33,false,0,89.47,85.37,82.04,82.14
201,74,1,5,0,2,0,0,39,-1,true,204,83.67,83.52,84.72,0.0
202,32,1,5,1,1,1,15,37,-1,true,204,84.94,0.0,0.0,0.0
203,21,1,5,1,0,0,-1,-1,-1,true,205,83.84,0.0,0.0,0.0
204,3,1,5,1,0,0,-1,-1,-1,true,205,85.58,0.0,0.0,0.0
205,0,1,5,1,0,0,-1,-1,-1,true,206,83.63,0.0,0.0,0.0
206,0,1,5,2,0,0,-1,-1,-1,false,0,83.52,0.0,0.0,0.0
207,84,1,6,0,2,1,21,29,27,true,240,88.89,58.68,94.35,83.57
208,105,1,6,0,2,0,32,10,-1,true,240,88.71,85.31,83.64,0.0
209,125,1,6,0,2,0,28,55,-1,true,236,85.29,82.91,82.86,0.0
210,132,1,6,0,2,0,33,55,-1,true,236,82.69,83.14,82.86,0.0
211,45,1,6,0,2,0,48,34,-1,true,239,81.25,83.0,82.86,0.0
212,92,1,6,0,2,0,67,56,-1,true,236,81.34,83.92,84.05,0.0
213,149,1,6,0,1,2,55,21,18,false,0,81.06,82.38,58.68,58.57
214,120,1,6,0,0,2,18,6,-1,false,0,81.75,58.8,59.59,0.0
215,136,1,6,0,2,0,37,72,-1,true,237,80.71,82.83,80.87,0.0
216,114,1,6,0,2,0,27,46,-1,true,237,88.57,83.57,83.14,0.0
217,134,1,6,0,2,0,41,37,-1,true,239,78.92,84.55,83.26,0.0
218,77,1,6,0,2,0,63,48,-1,true,237,82.1,82.04,82.75,0.0
219,140,1,6,0,2,1,72,18,33,true,237,83.85,80.87,58.8,82.29
220,137,1,6,0,2,0,29,72,-1,true,236,85.29,94.12,81.3,0.0
221,87,1,6,0,2,0,41,32,-1,true,237,83.04,84.55,85.43,0.0
222,123,1,6,0,2,1,6,29,28,true,239,89.47,59.76,94.12,82.66
223,117,1,6,0,2,0,56,29,-1,true,235,81.4,84.32,94.12,0.0
224,133,1,6,0,2,0,28,33,-1,true,239,85.0,82.78,82.57,0.0
225,95,1,6,0,2,1,36,18,41,true,239,83.93,84.2,58.57,83.64
226,135,1,6,0,2,0,55,41,-1,true,238,83.72,82.86,83.64,0.0
227,81,1,6,0,2,0,55,56,-1,true,235,81.25,82.38,83.78,0.0
228,138,1,6,0,2,0,67,32,-1,true,238,87.5,83.92,85.31,0.0
229,98,1,6,0,2,0,48,28,-1,true,235,76.81,83.0,82.91,0.0
230,61,1,6,0,2,1,48,18,41,true,235,85.29,82.75,58.8,83.64
231,86,1,6,0,2,0,10,55,-1,true,235,83.33,83.64,82.86,0.0
232,119,1,6,0,2,1,18,32,10,true,238,77.08,58.57,84.94,83.43
233,56,1,6,0,2,1,18,48,55,true,236,85.14,58.8,83.0,82.38
234,122,1,6,0,2,0,46,34,-1,true,238,81.75,83.14,83.14,0.0
235,18,1,6,1,0,0,-1,-1,-1,true,237,83.67,0.0,0.0,0.0
236,27,1,6,1,1,0,27,-1,-1,true,238,83.57,0.0,0.0,0.0
237,18,1,6,1,0,0,-1,-1,-1,true,238,84.0,0.0,0.0,0.0
238,32,1,6,1,0,0,-1,-1,-1,true,239,85.19,0.0,0.0,0.0
239,6,1,6,1,0,0,-1,-1,-1,true,240,85.37,0.0,0.0,0.0
240,6,1,6,2,0,0,-1,-1,-1,false,0,85.37,0.0,0.0,0.0
241,82,1,7,0,2,0,64,46,-1,true,271,86.84,84.39,83.14,0.0
242,84,1,7,0,2,1,5,64,34,true,273,88.89,81.64,84.39,82.86
243,132,1,7,0,2,0,49,51,-1,true,269,82.05,80.37,85.56,0.0
244,136,1,7,0,2,0,55,81,-1,true,269,81.43,82.86,80.83,0.0
245,94,1,7,0,2,0,0,34,-1,true,271,86.36,83.52,82.86,0.0
246,67,1,7,0,2,0,37,51,-1,true,270,87.16,83.15,85.78,0.0
247,102,1,7,0,2,0,6,56,-1,true,272,85.29,85.37,84.32,0.0
248,127,1,7,0,2,0,32,21,-1,true,273,80.56,85.19,83.84,0.0
249,51,1,7,0,2,0,46,39,-1,true,270,81.11,83.14,85.0,0.0
250,134,1,7,0,2,0,51,32,-1,true,270,78.92,85.56,85.31,0.0
251,120,1,7,0,2,0,39,5,-1,true,272,81.75,85.0,81.64,0.0
252,147,1,7,0,2,0,49,32,-1,true,272,85.44,80.19,85.06,0.0
253,122,1,7,0,2,0,63,55,-1,true,270,81.75,82.04,82.38,0.0
254,140,1,7,0,2,0,7,6,-1,true,274,84.62,83.71,85.37,0.0
255,137,1,7,0,2,0,33,7,-1,true,270,85.29,82.43,83.61,0.0
256,85,1,7,0,2,0,67,55,-1,true,271,85.0,83.92,82.38,0.0
257,93,1,7,0,2,0,56,5,-1,true,269,86.84,84.32,81.64,0.0
258,53,1,7,0,2,0,39,7,-1,true,269,82.81,85.0,83.71,0.0
259,117,1,7,0,2,0,55,67,-1,true,269,81.4,82.38,83.92,0.0
260,133,1,7,0,2,0,63,32,-1,true,274,84.0,82.04,85.19,0.0
261,68,1,7,0,0,2,34,56,-1,false,0,93.75,82.86,84.32,0.0
262,60,1,7,0,2,0,56,39,-1,true,272,82.86,84.32,85.0,0.0
263,109,1,7,0,2,0,70,33,-1,true,271,79.58,84.63,82.43,0.0
264,90,1,7,0,2,1,55,56,7,true,272,90.62,82.38,84.32,83.71
265,148,1,7,0,2,0,0,7,-1,true,274,84.41,83.63,83.71,0.0
266,96,1,7,0,2,0,0,7,-1,true,273,82.35,83.52,83.61,0.0
267,99,1,7,0,2,0,49,32,-1,true,271,84.38,80.19,85.19,0.0
268,125,1,7,0,2,0,21,37,-1,true,273,85.29,83.84,83.15,0.0
269,5,1,7,1,0,0,-1,-1,-1,true,270,81.64,0.0,0.0,0.0
270,51,1,7,1,0,0,-1,-1,-1,true,272,85.56,0.0,0.0,0.0
271,33,1,7,1,0,0,-1,-1,-1,true,273,82.43,0.0,0.0,0.0
272,5,1,7,1,0,0,-1,-1,-1,true,273,81.64,0.0,0.0,0.0
273,5,1,7,1,1,0,0,-1,-1,true,274,81.64,0.0,0.0,0.0
274,0,1,7,2,0,0,-1,-1,-1,false,0,83.52,0.0,0.0,0.0
275,116,1,8,0,2,0,63,49,-1,true,305,83.9,81.84,80.37,0.0
276,97,1,8,0,2,0,50,56,-1,true,302,78.5,84.2,84.32,0.0
277,125,1,8,0,2,1,21,50,48,true,305,85.29,58.68,84.35,83.0
278,2,1,8,0,0,2,29,49,-1,false,0,99.0,78.63,80.19,0.0
279,89,1,8,0,1,2,5,48,68,false,0,92.86,97.97,83.0,85.0
280,134,1,8,0,2,0,48,37,-1,true,306,78.92,83.0,83.15,0.0
281,136,1,8,0,2,0,49,32,-1,true,304,81.43,80.37,85.19,0.0
282,132,1,8,0,2,0,37,32,-1,true,304,82.05,83.15,85.31,0.0
283,119,1,8,0,2,0,68,72,-1,true,302,77.08,85.0,80.87,0.0
284,121,1,8,0,2,0,36,5,-1,true,306,83.53,84.3,97.97,0.0
285,122,1,8,0,2,0,51,15,-1,true,303,81.75,85.78,84.88,0.0
286,35,1,8,0,2,0,55,72,-1,true,302,82.76,82.86,80.87,0.0
287,77,1,8,0,2,0,48,5,-1,true,305,82.1,83.0,97.97,0.0
288,147,1,8,0,2,1,55,21,5,true,306,85.44,82.38,58.78,98.3
289,30,1,8,0,2,0,15,56,-1,true,302,73.53,84.88,84.32,0.0
290,69,1,8,0,2,1,41,29,15,true,306,86.11,82.73,78.43,85.12
291,133,1,8,0,2,0,56,41,-1,true,305,84.0,84.32,82.73,0.0
292,123,1,8,0,2,0,0,5,-1,true,304,89.47,83.52,97.97,0.0
293,85,1,8,0,2,0,65,55,-1,true,303,85.0,84.17,82.38,0.0
294,117,1,8,0,2,0,50,0,-1,true,305,81.4,84.35,83.52,0.0
295,95,1,8,0,2,0,32,48,-1,true,303,83.93,85.06,82.75,0.0
296,130,1,8,0,2,0,64,15,-1,true,303,82.69,84.39,84.88,0.0
297,64,1,8,0,2,0,64,51,-1,true,304,87.72,84.56,85.78,0.0
298,98,1,8,0,2,0,5,48,-1,true,303,76.81,98.14,83.0,0.0
299,99,1,8,0,2,0,51,50,-1,true,304,84.38,85.56,84.35,0.0
300,24,1,8,0,0,2,29,15,-1,false,0,97.39,78.43,85.12,0.0
301,81,1,8,0,2,0,15,51,-1,true,305,81.25,84.88,85.56,0.0
302,41,1,8,1,0,0,-1,-1,-1,true,303,83.64,0.0,0.0,0.0
303,15,1,8,1,0,0,-1,-1,-1,true,304,84.88,0.0,0.0,0.0
304,32,1,8,1,1,1,0,56,-1,true,306,85.31,0.0,0.0,0.0
305,0,1,8,1,0,0,-1,-1,-1,true,306,83.52,0.0,0.0,0.0
306,0,1,8,2,0,0,-1,-1,-1,false,0,83.52,0.0,0.0,0.0
307,15,1,9,0,0,2,15,56,-1,false,0,96.28,59.58,84.32,0.0
308,125,1,9,0,2,0,5,41,-1,true,335,85.29,97.97,83.64,0.0
309,84,1,9,0,1,2,6,53,18,false,0,88.89,59.76,83.12,58.57
310,132,1,9,0,2,0,36,21,-1,true,337,82.05,84.4,83.97,0.0
311,2,1,9,0,2,0,21,70,-1,true,336,83.33,83.97,84.63,0.0
312,82,1,9,0,2,0,56,5,-1,true,335,86.84,84.32,97.97,0.0
313,134,1,9,0,2,1,45,56,53,true,338,78.92,85.25,84.32,83.44
314,136,1,9,0,2,0,37,67,-1,true,336,81.43,83.15,83.92,0.0
315,121,1,9,0,2,0,33,41,-1,true,335,83.53,82.43,82.73,0.0
316,120,1,9,0,1,2,41,18,15,false,0,81.75,82.73,58.57,59.42
317,147,1,9,0,2,0,70,45,-1,true,338,85.44,84.88,85.5,0.0
318,140,1,9,0,2,1,15,53,46,true,336,84.62,59.58,83.12,83.43
319,111,1,9,0,0,2,18,15,-1,false,0,77.88,58.57,59.42,0.0
320,137,1,9,0,2,1,18,67,41,true,336,85.29,58.57,83.92,82.73
321,73,1,9,0,2,0,46,25,-1,true,335,74.17,83.14,83.33,0.0
322,85,1,9,0,2,0,63,50,-1,true,338,85.0,82.04,84.2,0.0
323,117,1,9,0,2,1,15,36,5,true,339,81.4,59.42,84.3,98.14
324,133,1,9,0,2,1,15,67,65,true,336,84.0,59.42,83.92,83.96
325,128,1,9,0,2,0,41,37,-1,true,337,82.5,83.64,83.04,0.0
326,135,1,9,0,2,0,25,50,-1,true,335,83.72,83.33,84.2,0.0
327,130,1,9,0,2,0,65,56,-1,true,335,82.69,83.96,84.32,0.0
328,109,1,9,0,1,2,64,18,15,false,0,79.58,84.39,58.57,59.58
329,81,1,9,0,2,1,50,18,33,true,338,81.25,84.2,58.57,82.43
330,138,1,9,0,2,1,63,18,5,true,339,87.5,82.04,58.8,98.3
331,115,1,9,0,2,0,50,64,-1,true,338,89.68,84.2,84.39,0.0
332,99,1,9,0,2,0,5,33,-1,true,337,84.38,98.14,82.43,0.0
333,141,1,9,0,2,1,15,5,25,true,337,90.0,59.42,97.97,83.33
334,127,1,9,0,0,2,15,18,-1,false,0,80.56,59.42,58.57,0.0
335,25,1,9,1,0,0,-1,-1,-1,true,336,83.33,0.0,0.0,0.0
336,25,1,9,1,0,0,-1,-1,-1,true,337,83.33,0.0,0.0,0.0
337,15,1,9,1,0,0,-1,-1,-1,true,339,85.12,0.0,0.0,0.0
338,6,1,9,1,0,0,-1,-1,-1,true,339,85.37,0.0,0.0,0.0
